review_text,polarity
"Que filme sem graça! A trama é previsível, os diálogos são rasos e as atuações são forçadas. Uma perda de tempo total.",0
"Não gostei nem um pouco. O filme é chato, cansativo e não prende a atenção. Joguei meu dinheiro fora.",0
"Que filme medíocre! A história é genérica, os personagens são clichês e o desenvolvimento é preguiçoso. Um filme para esquecer rapidamente.",0
"Que filme sensível e encantador. Paisagens, personagens, trilha, tudo muito gostoso de assistir. Ps: só o Oliver que é meio chato mesmo.",1
Um filme que te faz sentir vivo. A energia contagiante e a mensagem de esperança são inspiradoras. Recomendo fortemente!,1
Uma experiência cinematográfica única. A originalidade da trama e a profundidade dos personagens são impressionantes.,1
"Melhor filme da trilogia, sem sombra de dúvidas.",1
"Que filme péssimo! A história é confusa, os efeitos são ridículos e as atuações são de dar dó. Um desastre total.",0
Um espetáculo visual e emocional. A forma como os sentimentos são retratados é muito tocante. Saí renovado.,1
"Que filme incrível! A história me prendeu do início ao fim, com reviravoltas surpreendentes e personagens cativantes. Recomendo demais!",1
Simplesmente mágico! A atmosfera criada é envolvente e a história te transporta para outro universo. Amei!,1
Que narrativa envolvente! Cada cena te puxa para dentro da história. Um filme que te faz pensar.,1
"Que filme sem graça! A trama é previsível, os diálogos são rasos e as atuações são forçadas. Uma perda de tempo total.",0
Que obra-prima! A atuação é impecável e a direção é visionária. Um filme que redefine o gênero.,1
"Que filme péssimo! A história é confusa, os efeitos são ridículos e as atuações são de dar dó. Um desastre total.",0
Uma experiência cinematográfica inesquecível. A direção é impecável e a mensagem do filme é poderosa. Vale cada centavo!,1
Um filme que me fez questionar o propósito da arte. A falta de criatividade e originalidade é desanimadora. Um filme para esquecer.,0
"Que filme sem sal! A história é insossa, os personagens são esquecíveis e o desenvolvimento é morno. Uma experiência sem impacto.",0
Que roteiro inteligente! Cada cena é pensada e contribui para o desenvolvimento da trama. Um filme para ser visto e revisto.,1
"Saí do cinema com o coração apertado, mas com uma sensação de esperança. Um filme poderoso e necessário.",1
"Devo confessar a minha imensa decepção com esse filme que eu consideraria extremamente superestimado. O roteiro é besta, arrastado, a trilha sonora é enjoativa, alguns personagens dispensáveis, final sem graça demais para quem passou quase 2 hrs esperando por algo surpreendente, etc. A única coisa que salva-se no filme, na minha opinião, é a atuação do DeNiro. Mas como já foi dito anteriormente, atuação não salva filme. A verdade é que o filme é chato, cansativo, tão chato quanto estudar. Se passasse uma mosca eu iria perder a concentração. Mais um filme modinha! Decepcionante!",0
Saí do cinema com a sensação de ter sido traído. O filme prometia muito e entregou um produto final de péssima qualidade. Um fiasco.,0
"Adorei, adorei, adorei. :}",1
Que surpresa maravilhosa! Um filme que me emocionou profundamente e me fez acreditar na força dos laços humanos.,1
"Saí do cinema com a sensação de ter sido enganado. O filme é superficial, previsível e sem qualquer mérito artístico. Um fiasco.",0
"Que produção impecável! A atenção aos detalhes é impressionante, desde o figurino até a cenografia. Um deleite para os sentidos.",1
"Que produção impecável! A atenção aos detalhes é notável, desde o figurino até a cenografia. Um deleite visual.",1
Um filme que me fez questionar o propósito da arte. A falta de criatividade e originalidade é desanimadora. Um filme para esquecer.,0
"Que delícia de filme! Leve, divertido e com uma mensagem positiva. Perfeito para relaxar e se encantar.",1
"Saí do cinema com a sensação de ter sido roubado. O filme é uma cópia malfeita de outros, sem originalidade e sem alma. Um lixo.",0
Esse filme é um presente para os olhos e para o coração. A história é cativante e os atores entregam tudo.,1
"Melhor filme da trilogia, sem sombra de dúvidas.",1
"Que produção desleixada! A falta de cuidado com os detalhes é evidente, desde os erros de continuidade até a trilha sonora inadequada. Um desastre.",0
Que filme emocionante! A história me tocou de uma forma que eu não esperava. Os atores estão incríveis.,1
"Que filme sem graça! A trama é previsível, os diálogos são rasos e as atuações são forçadas. Uma perda de tempo total.",0
"Que obra de arte! A forma como a história é contada é genial, com diálogos inteligentes e cenas marcantes. Amei!",1
"Que produção amadora! A edição é péssima, a trilha sonora é irritante e a direção é amadora. Um filme para esquecer.",0
Um filme que me fez questionar a sanidade dos criadores. A falta de lógica e coerência é gritante. Um desastre.,0
"Que delícia de filme! Leve, divertido e com uma mensagem positiva. Perfeito para relaxar e se encantar.",1
Um filme que te faz questionar tudo. A profundidade dos personagens e a complexidade da trama são fascinantes.,1
"Fui ver sem esperar muito, ainda mais depois de não curtir muito alguns filmes do Denis e por achar que alguns filmes dele possuem algumas pontas bem soltas. Esse é diferente: é totalmente cíclico em todos os sentidos. Redondo, fechado. Muito bom!",1
Um filme que te faz sentir cada emoção. A intensidade das cenas é palpável. Recomendo para quem busca algo impactante.,1
Fiquei impressionado com a originalidade. Um filme que foge do comum e entrega uma história fresca e emocionante. Parabéns aos envolvidos!,1
"Que produção desleixada! A falta de cuidado com os detalhes é evidente, desde os erros de continuidade até a trilha sonora inadequada. Um desastre.",0
"Bem divertido! Inesperado, meio triste, reflexivo... e morre o homem branco com toda a prata que ajuntou, diria Tonto. E não sei porque teimam em igualar Tonto com Jack Sparrow - a personalidade dos dois é completamente diferente: melancólica e sábia versus irreverente e desonesto. Vale também pelas cenas absurdas que nem vou comentar, mas são hilárias kkkkkkk",1
Um filme que te faz sentir vivo. A energia contagiante e a mensagem de esperança são inspiradoras. Recomendo fortemente!,1
Um filme que me fez sentir tédio. A falta de ritmo e a monotonia são exasperantes. Não recomendo de forma alguma.,0
Uma palavra pra essa animação: indescritível. Filme que simplesmente me deixou sem palavras de tão bem feito.,1
"Saí do cinema com raiva. O filme é ofensivo, desrespeitoso e cheio de clichês batidos. Uma experiência desagradável.",0
Saí do cinema com um sorriso no rosto e o coração quentinho. Um filme que celebra a vida e o amor.,1
"Fui ver sem esperar muito, ainda mais depois de não curtir muito alguns filmes do Denis e por achar que alguns filmes dele possuem algumas pontas bem soltas. Esse é diferente: é totalmente cíclico em todos os sentidos. Redondo, fechado. Muito bom!",1
Adorei cada segundo! A trilha sonora é fantástica e a narrativa é envolvente. Um dos melhores filmes que vi este ano.,1
Que surpresa agradável! Um filme que me emocionou profundamente e me fez acreditar na força dos laços humanos.,1
Saí do cinema com a alma lavada. Um filme que celebra a resiliência humana e a beleza da vida.,1
Um filme que me fez suspirar de admiração. A beleza visual e a profundidade dos temas abordados são excepcionais.,1
Saí do cinema com a sensação de ter sido traído. O filme prometia muito e entregou um produto final de péssima qualidade. Um fiasco.,0
"Simplesmente sensacional! Um filme que te faz rir, chorar e pensar. O elenco está em sintonia perfeita. Imperdível!",1
"Que decepção! Um filme que prometia muito e entregou quase nada. Roteiro fraco, atuações medianas e um final anticlimático.",0
Um filme que te faz sorrir e chorar na mesma medida. A humanidade dos personagens é o ponto alto.,1
"Que filme sem emoção! Não há nada que prenda a atenção, nada que emocione, apenas um vazio cinematográfico. Uma experiência decepcionante.",0
Filme morno. Mesmo com o elenco que tem o filme não tem empatia. Filme perca de tempo total.,0
"Que filme sem emoção! Não há nada que prenda a atenção, nada que emocione, apenas um vazio cinematográfico. Uma experiência decepcionante.",0
Que desperdício de talento! Um elenco promissor em um filme sem graça e sem propósito. Uma experiência terrível.,0
Simplesmente mágico! A atmosfera criada é envolvente e a história te transporta para outro mundo. Amei!,1
"Que filme decepcionante! Esperava muito mais, mas o roteiro é fraco e as atuações deixam a desejar. Perda de tempo.",0
Um filme que me deixou com sono. A lentidão da narrativa e a falta de ação são exasperantes. Não vale a pena.,0
O melhor filme nacional que assisti nos últimos 3 anos. Sem sombra nenhuma de dúvidas. A trilha sonora? Nem se fale...,1
"Que filme sem alma! Não há emoção, não há profundidade, apenas um amontoado de cenas desconexas. Uma experiência vazia.",0
"Um verdadeiro desperdício de tempo e dinheiro. O filme é previsível, sem originalidade e com um final patético. Nunca mais.",0
"Que filme sem sal! A história é insossa, os personagens são esquecíveis e o desenvolvimento é morno. Uma experiência sem impacto.",0
"Que filme sem emoção! Não há nada que prenda a atenção, nada que emocione, apenas um vazio cinematográfico. Uma experiência decepcionante.",0
Um filme que te faz questionar suas próprias crenças. A complexidade da trama é fascinante. Vale a pena conferir.,1
Não gostei nem um pouco.,0
Um belo filme.,1
Saí do cinema com a sensação de ter sido traído. O filme prometia muito e entregou um produto final de péssima qualidade. Um fiasco.,0
Enredo muito sem graça e clichês piores ainda. Esperava mais...,0
"Que produção desleixada! A falta de cuidado com os detalhes é evidente, desde os erros de continuidade até a trilha sonora inadequada. Um desastre.",0
Simplesmente genial! A forma como os temas complexos são abordados é admirável. Um filme que ficará marcado.,1
"Um filme que me fez sentir pena. Pena dos atores, pena dos envolvidos na produção e pena de mim mesmo por ter assistido.",0
"Onde fica esse lugar incrível onde foi filmada a rave e tal? Eu me apaixonei pela locação <3. Odiei o fato de colocarem que todos que frequentassem esse tipo de festa/balada/rave como usuários de drogas, generalizou bastante. A fotografia é bem bonita, mas o filme poderia ser melhor desenvolvido... Enfim. Maomenos.",0
"Não recomendo nem para o meu pior inimigo. O filme é entediante, sem graça e com uma mensagem equivocada. Pura perda de tempo.",0
"Um filme que me fez sentir pena. Pena dos atores, pena dos envolvidos na produção e pena de mim mesmo por ter assistido.",0
Que roteiro brilhante! Cada diálogo é afiado e cada cena é essencial. Um filme para ser apreciado.,1
Um espetáculo de filme! A fotografia é deslumbrante e a trilha sonora é de arrepiar. Saí do cinema em êxtase.,1
Absolutamente maravilhoso! A cinematografia é deslumbrante e a atuação do elenco principal é de tirar o fôlego. Uma obra-prima!,1
"Saí do cinema frustrado. O filme é arrastado, sem emoção e com diálogos sem sentido. Uma grande decepção.",0
O melhor filme nacional que assisti nos últimos 3 anos. Sem sombra nenhuma de dúvidas. A trilha sonora? Nem se fale...,1
Saí do cinema emocionado. Um filme que toca a alma e faz refletir sobre a vida. Simplesmente perfeito.,1
Um belo filme.,1
"Que filme sem sal! A história é insossa, os personagens são esquecíveis e o desenvolvimento é morno. Uma experiência sem impacto.",0
Um filme que me fez sentir tédio. A falta de ritmo e a monotonia são exasperantes. Não recomendo de forma alguma.,0
"Um filme que me fez sentir pena. Pena dos atores, pena dos envolvidos na produção e pena de mim mesmo por ter assistido.",0
Um filme que me fez questionar o propósito da arte. A falta de criatividade e originalidade é desanimadora. Um filme para esquecer.,0
"Saí do cinema com a sensação de ter sido enganado. O filme é superficial, previsível e sem qualquer mérito artístico. Um fiasco.",0
"Que filme sensível e encantador. Paisagens, personagens, trilha, tudo muito gostoso de assistir. Ps: só o Oliver que é meio chato mesmo.",1
"Que filme ruim! A história não faz sentido, os efeitos especiais são toscos e as atuações são vergonhosas. Um lixo.",0
Um filme que me fez perder a paciência. A enrolação é tanta que chega a ser irritante. Não recomendo.,0
Uma joia rara! A direção é ousada e a atuação é visceral. Um filme que fica na memória.,1
"Saí do cinema com a sensação de ter sido enganado. O filme é superficial, previsível e sem qualquer mérito artístico. Um fiasco.",0
"Um desastre cinematográfico. A história é confusa, os personagens são rasos e o final é previsível. Não recomendo.",0
